	tissue_id
GTEX-17EVP-0426-SM-79OKG	Adipose_Subcutaneous
GTEX-17F96-1726-SM-7IGMB	Adipose_Subcutaneous
GTEX-17F97-0426-SM-7LT9U	Adipose_Subcutaneous
GTEX-17F98-1126-SM-79OJS	Adipose_Subcutaneous
GTEX-17F9Y-0326-SM-7IGLS	Adipose_Subcutaneous
GTEX-17HG3-2326-SM-79OKH	Adipose_Subcutaneous
GTEX-17HGU-0326-SM-7DUER	Adipose_Subcutaneous
GTEX-17HHE-1926-SM-7EPGW	Adipose_Subcutaneous
GTEX-17HHY-0226-SM-793BQ	Adipose_Subcutaneous
GTEX-17HII-0326-SM-7LG4X	Adipose_Subcutaneous
GTEX-17KNJ-2226-SM-DKPOU	Adipose_Subcutaneous
GTEX-17MF6-0226-SM-7LG4G	Adipose_Subcutaneous
GTEX-17MFQ-1826-SM-7DHLS	Adipose_Subcutaneous
GTEX-183FY-0326-SM-793BY	Adipose_Subcutaneous
GTEX-183WM-0226-SM-7LT8T	Adipose_Subcutaneous
GTEX-18465-0226-SM-7LG5M	Adipose_Subcutaneous
GTEX-18A66-0326-SM-718BE	Adipose_Subcutaneous
GTEX-18A67-0226-SM-7LG67	Adipose_Subcutaneous
GTEX-18A6Q-0226-SM-718AS	Adipose_Subcutaneous
GTEX-18A7A-0326-SM-731AT	Adipose_Subcutaneous
GTEX-18D9A-2026-SM-718BL	Adipose_Subcutaneous
GTEX-18D9U-0726-SM-7LG5J	Adipose_Subcutaneous
GTEX-18QFQ-0226-SM-731BQ	Adipose_Subcutaneous
GTEX-1A32A-0226-SM-718B2	Adipose_Subcutaneous
GTEX-1A3MV-2126-SM-718BV	Adipose_Subcutaneous
GTEX-1A3MW-0226-SM-7939O	Adipose_Subcutaneous
GTEX-1A3MX-0226-SM-731C4	Adipose_Subcutaneous
GTEX-1A8FM-0126-SM-7SB7P	Adipose_Subcutaneous
GTEX-1A8G6-0526-SM-7PC1E	Adipose_Subcutaneous
GTEX-1A8G7-0226-SM-731AS	Adipose_Subcutaneous
GTEX-1AMEY-1426-SM-7939I	Adipose_Subcutaneous
GTEX-1AMFI-2126-SM-731BT	Adipose_Subcutaneous
GTEX-1AX9I-0226-SM-7SB75	Adipose_Subcutaneous
GTEX-1AX9J-0326-SM-73KXY	Adipose_Subcutaneous
GTEX-1AX9K-2426-SM-73KZ4	Adipose_Subcutaneous
GTEX-1AYCT-2226-SM-7SB98	Adipose_Subcutaneous
GTEX-1AYD5-2326-SM-73KXF	Adipose_Subcutaneous
GTEX-1B8KE-2526-SM-73KYQ	Adipose_Subcutaneous
GTEX-1B8KZ-1926-SM-7DUG8	Adipose_Subcutaneous
GTEX-1B8L1-2626-SM-7SB77	Adipose_Subcutaneous
GTEX-1B8SF-0526-SM-7939F	Adipose_Subcutaneous
GTEX-1B8SG-0226-SM-7939Q	Adipose_Subcutaneous
GTEX-1B932-0226-SM-7PBYH	Adipose_Subcutaneous
GTEX-1B933-0526-SM-7EPHM	Adipose_Subcutaneous
GTEX-1B97I-1726-SM-7939V	Adipose_Subcutaneous
GTEX-1B996-0126-SM-7PBYF	Adipose_Subcutaneous
GTEX-1BAJH-0426-SM-73KWY	Adipose_Subcutaneous
GTEX-1C2JI-2226-SM-7IGPJ	Adipose_Subcutaneous
GTEX-1C475-1926-SM-7DUFV	Adipose_Subcutaneous
GTEX-1C4CL-0426-SM-7939N	Adipose_Subcutaneous
GTEX-1C64O-0226-SM-73KXB	Adipose_Subcutaneous
GTEX-1C6VQ-0226-SM-7P8S5	Adipose_Subcutaneous
GTEX-1C6VR-2626-SM-7MGX2	Adipose_Subcutaneous
GTEX-1C6VS-0426-SM-79OJV	Adipose_Subcutaneous
GTEX-1C6WA-0226-SM-7IGPO	Adipose_Subcutaneous
GTEX-1CAMQ-0126-SM-7SB7S	Adipose_Subcutaneous
GTEX-1CAMR-1826-SM-7MXUJ	Adipose_Subcutaneous
GTEX-1CAMS-0326-SM-7PC35	Adipose_Subcutaneous
GTEX-1CB4E-1826-SM-7RHG8	Adipose_Subcutaneous
GTEX-1CB4F-0526-SM-9KNW2	Adipose_Subcutaneous
GTEX-1CB4G-0326-SM-7SB8R	Adipose_Subcutaneous
GTEX-1CB4H-0326-SM-9WG5G	Adipose_Subcutaneous
GTEX-1CB4I-0426-SM-7IGPR	Adipose_Subcutaneous
GTEX-1CB4J-1126-SM-7PBY1	Adipose_Subcutaneous
GTEX-1E1VI-0226-SM-793CZ	Adipose_Subcutaneous
GTEX-1E2YA-0226-SM-9MQLY	Adipose_Subcutaneous
GTEX-1EH9U-0226-SM-7PBY8	Adipose_Subcutaneous
GTEX-1EKGG-0126-SM-9YFLS	Adipose_Subcutaneous
GTEX-1EMGI-0226-SM-9MQL1	Adipose_Subcutaneous
GTEX-1EU9M-0326-SM-7RHGF	Adipose_Subcutaneous
GTEX-1EWIQ-0226-SM-793D3	Adipose_Subcutaneous
GTEX-1EX96-1426-SM-7PBZ5	Adipose_Subcutaneous
GTEX-1F48J-0226-SM-7SB82	Adipose_Subcutaneous
GTEX-1F52S-0226-SM-7SB7U	Adipose_Subcutaneous
GTEX-1F5PK-2526-SM-9MQKN	Adipose_Subcutaneous
GTEX-1F6I4-0226-SM-9MQMA	Adipose_Subcutaneous
GTEX-1F6RS-0226-SM-9MQKO	Adipose_Subcutaneous
GTEX-1F75A-0226-SM-7PC2K	Adipose_Subcutaneous
GTEX-1F75I-0426-SM-7PC3S	Adipose_Subcutaneous
GTEX-1F75W-0226-SM-9JGGP	Adipose_Subcutaneous
GTEX-1F88E-0526-SM-7SB8J	Adipose_Subcutaneous
GTEX-1F88F-2626-SM-9WG5K	Adipose_Subcutaneous
GTEX-1FIGZ-1626-SM-7SB8L	Adipose_Subcutaneous
GTEX-1GF9V-0226-SM-9MQKA	Adipose_Subcutaneous
GTEX-1GF9X-1926-SM-ADEIC	Adipose_Subcutaneous
GTEX-1GMR2-2526-SM-9MQKW	Adipose_Subcutaneous
GTEX-1GMR3-2026-SM-9MQLG	Adipose_Subcutaneous
GTEX-1GMR8-0226-SM-9YFL3	Adipose_Subcutaneous
GTEX-1GMRU-0226-SM-9YFLW	Adipose_Subcutaneous
GTEX-1GN1U-0226-SM-9YFLQ	Adipose_Subcutaneous
GTEX-1GN1V-0226-SM-9WYTN	Adipose_Subcutaneous
GTEX-1GN1W-0626-SM-9MQK3	Adipose_Subcutaneous
GTEX-1GN2E-0326-SM-COH3C	Adipose_Subcutaneous
GTEX-1GN73-0326-SM-9KNTW	Adipose_Subcutaneous
GTEX-1GPI7-0226-SM-9MQKB	Adipose_Subcutaneous
GTEX-1GTWX-0226-SM-9YFLL	Adipose_Subcutaneous
GTEX-1GZ2Q-0326-SM-9WG6N	Adipose_Subcutaneous
GTEX-1GZ4H-1826-SM-9MQLE	Adipose_Subcutaneous
GTEX-1GZ4I-0226-SM-7RHHO	Adipose_Subcutaneous
GTEX-1H1CY-2626-SM-9MQKJ	Adipose_Subcutaneous
GTEX-1H1DE-2026-SM-9WG6Q	Adipose_Subcutaneous
GTEX-1H1DF-0226-SM-ARL9A	Adipose_Subcutaneous
GTEX-1H1E6-2026-SM-9KNVK	Adipose_Subcutaneous
GTEX-1H1ZS-0526-SM-9WG5L	Adipose_Subcutaneous
GTEX-1H23P-0226-SM-9YFLO	Adipose_Subcutaneous
